Nodes  Experimantal value    log2(n)
 100         6.24              6.64
 101         6.43              6.66
 102         6.14              6.67
 103         6.70              6.69
 104         6.71              6.70
 105         6.46              6.71
 106         6.78              6.73
 107         6.38              6.74
 108         6.59              6.75
 109         7.17              6.77
 110         6.43              6.78
 111         6.72              6.79
 112         7.34              6.81
 113         6.50              6.82
 114         6.95              6.83
 115         6.77              6.85
 116         8.66              6.86
 117         6.40              6.87
 118         6.17              6.88
 119         7.04              6.89
 120         6.67              6.91
 121         7.04              6.92
 122         6.69              6.93
 123         6.81              6.94
 124         6.61              6.95
 125         6.13              6.97
 126         6.72              6.98
 127         6.25              6.99
 128         7.12              7.00
 129         6.20              7.01
 130         7.29              7.02
 131         7.35              7.03
 132         6.85              7.04
 133         6.65              7.06
 134         6.94              7.07
 135         7.00              7.08
 136         6.55              7.09
 137         7.69              7.10
 138         7.78              7.11
 139         7.65              7.12
 140         6.38              7.13
 141         8.10              7.14
 142         7.58              7.15
 143         8.32              7.16
 144         7.03              7.17
 145         6.90              7.18
 146         7.10              7.19
 147         7.73              7.20
 148         6.66              7.21
 149         7.14              7.22
 150         7.56              7.23
 151         6.62              7.24
 152         7.16              7.25
 153         7.72              7.26
 154         7.91              7.27
 155         7.37              7.28
 156         7.15              7.29
 157         6.57              7.29
 158         7.99              7.30
 159         7.20              7.31
 160         7.65              7.32
 161         7.96              7.33
 162         7.11              7.34
 163         7.10              7.35
 164         7.29              7.36
 165         6.35              7.37
 166         8.45              7.38
 167         7.60              7.38
 168         7.01              7.39
 169         7.14              7.40
 170         6.96              7.41
 171         6.67              7.42
 172         7.14              7.43
 173         7.61              7.43
 174         7.46              7.44
 175         6.92              7.45
 176         7.16              7.46
 177         7.30              7.47
 178         7.43              7.48
 179         7.60              7.48
 180         7.18              7.49
 181         7.64              7.50
 182         7.91              7.51
 183         7.81              7.52
 184         6.65              7.52
 185         7.32              7.53
 186         7.65              7.54
 187         8.58              7.55
 188         7.60              7.55
 189         8.08              7.56
 190         7.05              7.57
 191         7.51              7.58
 192         8.02              7.58
 193         7.44              7.59
 194         7.41              7.60
 195         8.26              7.61
 196         7.47              7.61
 197         6.88              7.62
 198         7.80              7.63
 199         7.12              7.64
 200         7.90              7.64
 201         7.35              7.65
 202         7.15              7.66
 203         8.43              7.67
 204         8.22              7.67
 205         8.96              7.68
 206         7.94              7.69
 207         7.23              7.69
 208         9.81              7.70
 209         7.85              7.71
 210         7.58              7.71
 211         8.07              7.72
 212         8.17              7.73
 213         7.79              7.73
 214         7.57              7.74
 215         8.40              7.75
 216         7.54              7.75
 217         8.62              7.76
 218         9.00              7.77
 219         7.69              7.77
 220         7.80              7.78
 221         7.38              7.79
 222         8.12              7.79
 223         7.84              7.80
 224         7.64              7.81
 225         7.83              7.81
 226         7.86              7.82
 227         7.64              7.83
 228         7.91              7.83
 229         8.43              7.84
 230         8.54              7.85
 231         7.40              7.85
 232         10.83              7.86
 233         8.51              7.86
 234         8.60              7.87
 235         7.91              7.88
 236         7.93              7.88
 237         8.75              7.89
 238         8.94              7.89
 239         7.82              7.90
 240         8.18              7.91
 241         7.83              7.91
 242         8.45              7.92
 243         8.89              7.92
 244         7.64              7.93
 245         9.67              7.94
 246         7.41              7.94
 247         7.33              7.95
 248         8.16              7.95
 249         8.02              7.96
